scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-11-2021,4585.21
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-11-2021,4584.64
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-11-2021,4584.2466
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-11-2021,4583.8047
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-11-2021,4582.285
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-11-2021,4581.6807
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-11-2021,4581.0273
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-11-2021,4580.4956
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-11-2021,4579.5728
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-11-2021,4576.4688
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-11-2021,4575.599
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-11-2021,4574.986
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-10-2021,4573.74
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-10-2021,4573.4097
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-10-2021,4573.0303
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-10-2021,4573.5215
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-10-2021,4573.496
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-10-2021,4572.6343
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-10-2021,4572.1816
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-10-2021,4571.9805
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-10-2021,4571.36
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-10-2021,4569.9785
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-10-2021,4569.5195
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-10-2021,4568.841
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-10-2021,4568.167
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-10-2021,4566.5166
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-10-2021,4565.702
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-10-2021,4565.185
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-10-2021,4565.221
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-10-2021,4564.9697
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-10-2021,4563.619
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-09-2021,4563.0293
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-09-2021,4562.4165
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-09-2021,4562.483
